county,name,year,population
13,Hallands län,1970,200055.0
13,Hallands län,1971,203848.0
13,Hallands län,1972,208276.0
13,Hallands län,1973,212490.0
13,Hallands län,1974,216318.0
13,Hallands län,1975,219780.0
13,Hallands län,1976,222985.0
13,Hallands län,1977,225032.0
13,Hallands län,1978,227175.0
13,Hallands län,1979,229211.0
13,Hallands län,1980,230924.0
13,Hallands län,1981,232715.0
13,Hallands län,1982,234339.0
13,Hallands län,1983,236319.0
13,Hallands län,1984,238347.0
13,Hallands län,1985,240063.0
13,Hallands län,1986,242250.0
13,Hallands län,1987,244377.0
13,Hallands län,1988,247417.0
13,Hallands län,1989,250959.0
13,Hallands län,1990,254725.0
13,Hallands län,1991,257874.0
13,Hallands län,1992,261172.0
13,Hallands län,1993,264607.0
13,Hallands län,1994,268067.0
13,Hallands län,1995,269338.0
13,Hallands län,1996,270060.0
13,Hallands län,1997,271325.0
13,Hallands län,1998,272539.0
13,Hallands län,1999,273537.0
13,Hallands län,2000,275004.0
13,Hallands län,2001,276653.0
13,Hallands län,2002,278551.0
13,Hallands län,2003,281322.0
13,Hallands län,2004,283788.0
13,Hallands län,2005,285868.0
13,Hallands län,2006,288859.0
13,Hallands län,2007,291393.0
13,Hallands län,2008,293572.0
13,Hallands län,2009,296825.0
13,Hallands län,2010,299484.0
13,Hallands län,2011,301724.0
13,Hallands län,2012,304116.0
13,Hallands län,2013,306840.0
13,Hallands län,2014,310665.0
13,Hallands län,2015,314784.0
14,Västra Götalands län,1968,1333196.0
14,Västra Götalands län,1969,1349898.0
14,Västra Götalands län,1970,1366708.0
14,Västra Götalands län,1971,1373088.0
14,Västra Götalands län,1972,1374869.0
14,Västra Götalands län,1973,1376948.0
14,Västra Götalands län,1974,1380332.0
14,Västra Götalands län,1975,1384484.0
14,Västra Götalands län,1976,1386501.0
14,Västra Götalands län,1977,1389139.0
14,Västra Götalands län,1978,1390181.0
14,Västra Götalands län,1979,1392028.0
14,Västra Götalands län,1980,1391774.0
14,Västra Götalands län,1981,1390805.0
14,Västra Götalands län,1982,1390269.0
14,Västra Götalands län,1983,1390152.0
14,Västra Götalands län,1984,1393219.0
14,Västra Götalands län,1985,1397122.0
14,Västra Götalands län,1986,1403503.0
14,Västra Götalands län,1987,1411372.0
14,Västra Götalands län,1988,1418954.0
14,Västra Götalands län,1989,1431259.0
14,Västra Götalands län,1990,1441293.0
14,Västra Götalands län,1991,1448056.0
14,Västra Götalands län,1992,1455645.0
14,Västra Götalands län,1993,1464073.0
14,Västra Götalands län,1994,1477370.0
14,Västra Götalands län,1995,1482501.0
14,Västra Götalands län,1996,1485014.0
14,Västra Götalands län,1997,1485611.0
14,Västra Götalands län,1998,1486918.0
14,Västra Götalands län,1999,1488709.0
14,Västra Götalands län,2000,1494641.0
14,Västra Götalands län,2001,1500857.0
14,Västra Götalands län,2002,1508230.0
14,Västra Götalands län,2003,1514992.0
14,Västra Götalands län,2004,1521895.0
14,Västra Götalands län,2005,1528455.0
14,Västra Götalands län,2006,1538284.0
14,Västra Götalands län,2007,1547298.0
14,Västra Götalands län,2008,1558130.0
14,Västra Götalands län,2009,1569458.0
14,Västra Götalands län,2010,1580297.0
14,Västra Götalands län,2011,1590604.0
14,Västra Götalands län,2012,1600447.0
14,Västra Götalands län,2013,1615084.0
14,Västra Götalands län,2014,1632012.0
14,Västra Götalands län,2015,1648682.0
17,Värmlands län,1968,284655.0
17,Värmlands län,1969,284039.0
17,Värmlands län,1970,284686.0
17,Värmlands län,1971,284246.0
17,Värmlands län,1972,283677.0
17,Värmlands län,1973,283246.0
17,Värmlands län,1974,283476.0
17,Värmlands län,1975,284249.0
17,Värmlands län,1976,284529.0
17,Värmlands län,1977,284708.0
17,Värmlands län,1978,284892.0
17,Värmlands län,1979,284615.0
17,Värmlands län,1980,284070.0
17,Värmlands län,1981,283175.0
17,Värmlands län,1982,282115.0
17,Värmlands län,1983,281205.0
17,Värmlands län,1984,280499.0
17,Värmlands län,1985,279183.0
17,Värmlands län,1986,278861.0
17,Värmlands län,1987,279402.0
17,Värmlands län,1988,280694.0
17,Värmlands län,1989,282375.0
17,Värmlands län,1990,283110.0
17,Värmlands län,1991,284187.0
17,Värmlands län,1992,284691.0
17,Värmlands län,1993,285220.0
17,Värmlands län,1994,285498.0
17,Värmlands län,1995,284011.0
17,Värmlands län,1996,282147.0
17,Värmlands län,1997,280178.0
17,Värmlands län,1998,278313.0
17,Värmlands län,1999,276600.0
17,Värmlands län,2000,275003.0
17,Värmlands län,2001,273933.0
17,Värmlands län,2002,273419.0
17,Värmlands län,2003,273563.0
17,Värmlands län,2004,273547.0
17,Värmlands län,2005,273288.0
17,Värmlands län,2006,273489.0
17,Värmlands län,2007,273826.0
17,Värmlands län,2008,273374.0
17,Värmlands län,2009,273257.0
17,Värmlands län,2010,273265.0
17,Värmlands län,2011,272736.0
17,Värmlands län,2012,273080.0
17,Värmlands län,2013,273815.0
17,Värmlands län,2014,274691.0
17,Värmlands län,2015,275904.0
18,Örebro län,1968,271864.0
18,Örebro län,1969,273787.0
18,Örebro län,1970,275490.0
18,Örebro län,1971,275202.0
18,Örebro län,1972,274230.0
18,Örebro län,1973,273561.0
18,Örebro län,1974,273604.0
18,Örebro län,1975,273923.0
18,Örebro län,1976,273819.0
18,Örebro län,1977,274207.0
18,Örebro län,1978,274268.0
18,Örebro län,1979,274223.0
18,Örebro län,1980,274356.0
18,Örebro län,1981,273712.0
18,Örebro län,1982,273128.0
18,Örebro län,1983,272138.0
18,Örebro län,1984,270961.0
18,Örebro län,1985,270211.0
18,Örebro län,1986,269620.0
18,Örebro län,1987,269341.0
18,Örebro län,1988,270031.0
18,Örebro län,1989,271523.0
18,Örebro län,1990,272513.0
18,Örebro län,1991,273608.0
18,Örebro län,1992,274325.0
18,Örebro län,1993,275532.0
18,Örebro län,1994,276828.0
18,Örebro län,1995,276417.0
18,Örebro län,1996,275855.0
18,Örebro län,1997,275163.0
18,Örebro län,1998,274584.0
18,Örebro län,1999,273822.0
18,Örebro län,2000,273615.0
18,Örebro län,2001,273137.0
18,Örebro län,2002,273412.0
18,Örebro län,2003,273935.0
18,Örebro län,2004,273920.0
18,Örebro län,2005,274121.0
18,Örebro län,2006,275030.0
18,Örebro län,2007,276067.0
18,Örebro län,2008,277732.0
18,Örebro län,2009,278882.0
18,Örebro län,2010,280230.0
18,Örebro län,2011,281572.0
18,Örebro län,2012,283113.0
18,Örebro län,2013,285395.0
18,Örebro län,2014,288150.0
18,Örebro län,2015,291012.0
19,Västmanlands län,1968,255478.0
19,Västmanlands län,1969,258792.0
19,Västmanlands län,1970,261592.0
19,Västmanlands län,1971,262692.0
19,Västmanlands län,1972,261173.0
19,Västmanlands län,1973,260074.0
19,Västmanlands län,1974,260132.0
19,Västmanlands län,1975,259921.0
19,Västmanlands län,1976,260164.0
19,Västmanlands län,1977,260330.0
19,Västmanlands län,1978,259692.0
19,Västmanlands län,1979,259670.0
19,Västmanlands län,1980,259538.0
19,Västmanlands län,1981,258566.0
19,Västmanlands län,1982,257783.0
19,Västmanlands län,1983,256976.0
19,Västmanlands län,1984,255691.0
19,Västmanlands län,1985,254761.0
19,Västmanlands län,1986,254423.0
19,Västmanlands län,1987,254253.0
19,Västmanlands län,1988,254847.0
19,Västmanlands län,1989,256510.0
19,Västmanlands län,1990,258487.0
19,Västmanlands län,1991,259438.0
19,Västmanlands län,1992,260096.0
19,Västmanlands län,1993,260932.0
19,Västmanlands län,1994,261753.0
19,Västmanlands län,1995,261101.0
19,Västmanlands län,1996,259987.0
19,Västmanlands län,1997,258541.0
19,Västmanlands län,1998,257661.0
19,Västmanlands län,1999,256901.0
19,Västmanlands län,2000,256889.0
19,Västmanlands län,2001,257957.0
19,Västmanlands län,2002,258912.0
19,Västmanlands län,2003,260134.0
19,Västmanlands län,2004,261005.0
19,Västmanlands län,2005,261391.0
19,Västmanlands län,2006,248489.0
19,Västmanlands län,2007,249193.0
19,Västmanlands län,2008,249974.0
19,Västmanlands län,2009,251353.0
19,Västmanlands län,2010,252756.0
19,Västmanlands län,2011,254257.0
19,Västmanlands län,2012,256224.0
19,Västmanlands län,2013,259054.0
19,Västmanlands län,2014,261703.0
19,Västmanlands län,2015,264276.0
20,Dalarnas län,1968,278996.0
20,Dalarnas län,1969,278087.0
20,Dalarnas län,1970,277056.0
20,Dalarnas län,1971,277284.0
20,Dalarnas län,1972,277453.0
20,Dalarnas län,1973,278104.0
20,Dalarnas län,1974,279159.0
20,Dalarnas län,1975,281109.0
20,Dalarnas län,1976,283350.0
20,Dalarnas län,1977,284034.0
20,Dalarnas län,1978,284490.0
